N,seed,flat_kclusters,flat_nprobe,recall,qps,time_per_query
1,42,200,50,0.16666666666666666,14.149342,0.07067466458864306
1,42,200,100,0.16666666666666666,6.543853,0.15281516867814726
1,42,500,50,0.16666666666666666,14.814431,0.06750174880155707
1,42,500,100,0.16666666666666666,7.657759,0.1305865070969196
1,42,500,250,0.16666666666666666,4.524887,0.2209999940330002
1,42,1000,50,0.16666666666666666,14.717425,0.06794666865976895
1,42,1000,100,0.16666666666666666,7.816296,0.12793783654047902
1,42,1000,250,0.16666666666666666,4.224608,0.23670835258561268
1,42,1000,500,0.16666666666666666,4.527434,0.22087566599535188
1,42,5000,50,0.16666666666666666,16.6869,0.05992724832053886
1,42,5000,100,0.16666666666666666,6.33212,0.1579249919458254
1,42,5000,250,0.16666666666666666,4.024459,0.24848060323139085
1,42,5000,500,0.16666666666666666,3.509203,0.28496499062607666
1,42,5000,1500,0.16666666666666666,4.64715,0.21518565142076326
10,42,200,50,0.2333333333333333,14.006632,0.07139475071523262
10,42,200,100,0.2333333333333333,6.681079,0.14967642202704085
10,42,500,50,0.2333333333333333,17.169445,0.058243000865782206
10,42,500,100,0.2333333333333333,7.662522,0.1305053349275865
10,42,500,250,0.2333333333333333,4.589215,0.21790219024386523
10,42,1000,50,0.2333333333333333,12.405357,0.08061033632486352
10,42,1000,100,0.2333333333333333,6.654102,0.15028323882020445
10,42,1000,250,0.2333333333333333,4.300588,0.2325263429093882
10,42,1000,500,0.2333333333333333,3.901298,0.25632494621021
10,42,5000,50,0.2333333333333333,13.248221,0.07548183261737558
10,42,5000,100,0.2333333333333333,7.641735,0.1308603347276502
10,42,5000,250,0.2333333333333333,3.843086,0.2602075519517388
10,42,5000,500,0.2333333333333333,3.766378,0.26550707337394175
10,42,5000,1500,0.2333333333333333,3.768405,0.2653642588840637
50,42,200,50,0.2937747035573122,11.808188,0.08468699854710986
50,42,200,100,0.2971080368906456,6.563876,0.1523490084212438
50,42,500,50,0.2937747035573122,15.414634,0.06487341833740587
50,42,500,100,0.2971080368906456,8.349958,0.11976108143298445
50,42,500,250,0.2971080368906456,4.540202,0.22025451731002277
50,42,1000,50,0.2937747035573122,15.420379,0.06484924916566577
50,42,1000,100,0.2971080368906456,7.736729,0.12925359024466282
50,42,1000,250,0.2971080368906456,4.514552,0.2215059212962881
50,42,1000,500,0.2971080368906456,4.635166,0.21574200363050644
50,42,5000,50,0.2937747035573122,15.27596,0.06546233428210077
50,42,5000,100,0.2971080368906456,8.379701,0.1193360001747079
50,42,5000,250,0.2971080368906456,4.339732,0.23042897579850555
50,42,5000,500,0.2971080368906456,3.775417,0.2648714036091907
50,42,5000,1500,0.2971080368906456,4.51019,0.2217201492620045
