N,seed,k,L,lsh_w,recall,qps,time_per_query
1,42,2,5,20,0.16666666666666666,10.726113,0.09323041813935766
1,42,2,5,40,0.16666666666666666,9.369722,0.10672675240524747
1,42,2,5,80,0.16666666666666666,10.382069,0.09631991465285003
1,42,2,5,120,0.16666666666666666,11.13564,0.08980175364864525
1,42,2,5,300,0.16666666666666666,10.386094,0.09628258708230447
1,42,2,5,500,0.16666666666666666,9.519813,0.10504408017258324
1,42,2,5,1000,0.16666666666666666,10.066802,0.09933641289458163
1,42,2,10,20,0.16666666666666666,9.669458,0.10341841290380495
1,42,2,10,40,0.16666666666666666,7.642781,0.13084242502827179
1,42,2,10,80,0.16666666666666666,8.113036,0.12325842015245589
1,42,2,10,120,0.16666666666666666,11.956359,0.0836375020188002
1,42,2,10,300,0.16666666666666666,13.346086,0.0749283347941861
1,42,2,10,500,0.16666666666666666,9.684136,0.10326166423106821
1,42,2,10,1000,0.16666666666666666,8.982944,0.11132207881959412
1,42,2,15,20,0.16666666666666666,8.233056,0.12146158121601505
1,42,2,15,40,0.16666666666666666,19.288511,0.051844333655407616
1,42,2,15,80,0.16666666666666666,33.648696,0.029718833680805936
1,42,2,15,120,0.16666666666666666,8.295284,0.1205504235900784
1,42,2,15,300,0.16666666666666666,9.32125,0.1072817486925037
1,42,2,15,500,0.16666666666666666,6.838304,0.14623508987023684
1,42,2,15,1000,0.16666666666666666,9.878999,0.1012248305724092
1,42,4,5,20,0.16666666666666666,11.906156,0.08399016441578626
1,42,4,5,40,0.16666666666666666,13.552967,0.0737845816344126
1,42,4,5,80,0.16666666666666666,8.584557,0.1164882474424714
1,42,4,5,120,0.16666666666666666,9.497368,0.10529232941168543
1,42,4,5,300,0.16666666666666666,14.070998,0.07106816446139784
1,42,4,5,500,0.16666666666666666,18.746631,0.053342917988837564
1,42,4,5,1000,0.16666666666666666,6.889053,0.1451578322884147
1,42,4,10,20,0.16666666666666666,12.684225,0.07883808431338928
1,42,4,10,40,0.16666666666666666,8.935033,0.11191900466400068
1,42,4,10,80,0.16666666666666666,6.078488,0.16451459639305038
1,42,4,10,120,0.16666666666666666,11.188916,0.08937416278753008
1,42,4,10,300,0.16666666666666666,10.342099,0.09669217051586917
1,42,4,10,500,0.16666666666666666,9.263834,0.10794666657455218
1,42,4,10,1000,0.16666666666666666,9.094147,0.10996083524930926
1,42,4,15,20,0.16666666666666666,14.375458,0.06956300105360122
1,42,4,15,40,0.16666666666666666,7.815797,0.12794600473886414
1,42,4,15,80,0.16666666666666666,8.278848,0.12078975239067077
1,42,4,15,120,0.16666666666666666,18.458585,0.05417533359138851
1,42,4,15,300,0.16666666666666666,71.994672,0.013889916742727852
1,42,4,15,500,0.16666666666666666,8.087343,0.12365000470488267
1,42,4,15,1000,0.16666666666666666,7.161272,0.13963999691674886
1,42,6,5,20,0.16666666666666666,16.404536,0.060958749458076715
1,42,6,5,40,0.16666666666666666,13.024578,0.07677791940744645
1,42,6,5,80,0.16666666666666666,6.837467,0.14625299105648334
1,42,6,5,120,0.16666666666666666,9.323444,0.10725650306903757
1,42,6,5,300,0.16666666666666666,12.912139,0.07744650208613771
1,42,6,5,500,0.16666666666666666,9.279508,0.10776433405736598
1,42,6,5,1000,0.16666666666666666,11.449595,0.08733933383669902
1,42,6,10,20,0.16666666666666666,10.753295,0.09299475184117985
1,42,6,10,40,0.16666666666666666,41.247177,0.024244083419333158
1,42,6,10,80,0.16666666666666666,12.249435,0.08163641833276392
1,42,6,10,120,0.16666666666666666,12.140367,0.08236983280653708
1,42,6,10,300,0.16666666666666666,11.2058,0.08923950097271056
1,42,6,10,500,0.16666666666666666,10.120732,0.09880708233357034
1,42,6,10,1000,0.16666666666666666,8.688701,0.1150920028206748
1,42,6,15,20,0.16666666666666666,10.375417,0.09638166832234309
1,42,6,15,40,0.16666666666666666,7.206095,0.13877141503130336
1,42,6,15,80,0.16666666666666666,7.246071,0.1380058241217896
1,42,6,15,120,0.16666666666666666,8.064928,0.12399366739541878
1,42,6,15,300,0.16666666666666666,7.474163,0.13379424558977374
1,42,6,15,500,0.16666666666666666,38.909623,0.025700583117960304
1,42,6,15,1000,0.16666666666666666,6.816203,0.14670924560198692
10,42,2,5,20,0.2333333333333333,24.503248,0.040810916169154395
10,42,2,5,40,0.2333333333333333,12.089827,0.08271416952451015
10,42,2,5,80,0.2333333333333333,15.023944,0.0665604184893128
10,42,2,5,120,0.2333333333333333,12.10936,0.08258074745486135
10,42,2,5,300,0.2333333333333333,24.27705,0.04119116614250908
10,42,2,5,500,0.2333333333333333,15.204212,0.06577124812519057
10,42,2,5,1000,0.2333333333333333,10.571076,0.09459774955737714
10,42,2,10,20,0.2333333333333333,7.806274,0.12810208814089794
10,42,2,10,40,0.2333333333333333,9.55195,0.10469066525683238
10,42,2,10,80,0.2333333333333333,84.874033,0.011782166637468495
10,42,2,10,120,0.2333333333333333,7.044953,0.1419455885653176
10,42,2,10,300,0.2333333333333333,13.634148,0.07334525046962964
10,42,2,10,500,0.2333333333333333,28.554024,0.03502133359557308
10,42,2,10,1000,0.2333333333333333,9.038697,0.11063541570206413
10,42,2,15,20,0.2333333333333333,7.337659,0.13628324783149504
10,42,2,15,40,0.2333333333333333,6.324051,0.1581264920222813
10,42,2,15,80,0.2333333333333333,8.79032,0.1137615012877802
10,42,2,15,120,0.2333333333333333,6.955957,0.14376167075213375
10,42,2,15,300,0.2333333333333333,9.065026,0.11031407962867398
10,42,2,15,500,0.2333333333333333,14.282892,0.0700138319326366
10,42,2,15,1000,0.2333333333333333,5.984739,0.16709166431485148
10,42,4,5,20,0.2333333333333333,8.330377,0.12004258630791859
10,42,4,5,40,0.2333333333333333,10.101299,0.09899716858198139
10,42,4,5,80,0.2333333333333333,12.22083,0.08182750271462741
10,42,4,5,120,0.2333333333333333,28.624862,0.034934666235246825
10,42,4,5,300,0.2333333333333333,7.978379,0.12533874362198136
10,42,4,5,500,0.2333333333333333,8.808206,0.11353049644842547
10,42,4,5,1000,0.2333333333333333,7.866985,0.12711350027996748
10,42,4,10,20,0.2333333333333333,9.145582,0.10934241254411148
10,42,4,10,40,0.2333333333333333,12.537718,0.07975933100425452
10,42,4,10,80,0.2333333333333333,8.789638,0.11377032819781656
10,42,4,10,120,0.2333333333333333,8.112449,0.12326733887633685
10,42,4,10,300,0.2333333333333333,8.185958,0.12216041176854317
10,42,4,10,500,0.2333333333333333,7.268155,0.13758649891203475
10,42,4,10,1000,0.2333333333333333,9.940572,0.10059783280076841
10,42,4,15,20,0.2333333333333333,7.068686,0.14146900852577127
10,42,4,15,40,0.2333333333333333,8.111753,0.12327791539017521
10,42,4,15,80,0.2333333333333333,9.30123,0.10751266230380283
10,42,4,15,120,0.2333333333333333,8.18079,0.12223758341187098
10,42,4,15,300,0.2333333333333333,5.085129,0.19665184501710772
10,42,4,15,500,0.2333333333333333,7.421146,0.1347500776834198
10,42,4,15,1000,0.2333333333333333,6.017478,0.1661825768203889
10,42,6,5,20,0.2333333333333333,9.833954,0.10168849681420108
10,42,6,5,40,0.2333333333333333,14.738484,0.0678495834442674
10,42,6,5,80,0.2333333333333333,12.559501,0.07962099768135693
10,42,6,5,120,0.2333333333333333,9.965693,0.1003442510219811
10,42,6,5,300,0.2333333333333333,10.389799,0.09624825273328194
10,42,6,5,500,0.2333333333333333,11.26987,0.08873216816165581
10,42,6,5,1000,0.2333333333333333,9.655259,0.10357049976598247
10,42,6,10,20,0.2333333333333333,12.34639,0.08099533547862979
10,42,6,10,40,0.2333333333333333,13.2936,0.0752241680207017
10,42,6,10,80,0.2333333333333333,29.484754,0.03391583324724364
10,42,6,10,120,0.2333333333333333,7.250317,0.13792500383086698
10,42,6,10,300,0.2333333333333333,6.265458,0.15960525152351193
10,42,6,10,500,0.2333333333333333,8.037158,0.12442209049517255
10,42,6,10,1000,0.2333333333333333,8.617656,0.1160408352340822
10,42,6,15,20,0.2333333333333333,7.023171,0.1423858254341237
10,42,6,15,40,0.2333333333333333,12.527208,0.07982624699773486
10,42,6,15,80,0.2333333333333333,9.804562,0.10199333738722852
10,42,6,15,120,0.2333333333333333,18.46168,0.05416625139207266
10,42,6,15,300,0.2333333333333333,10.246628,0.09759308135320224
10,42,6,15,500,0.2333333333333333,10.32904,0.09681441837770015
10,42,6,15,1000,0.2333333333333333,7.950237,0.12578241378213
50,42,2,5,20,0.2971080368906456,9.944625,0.10055683346531417
50,42,2,5,40,0.2971080368906456,10.572017,0.09458932954799448
50,42,2,5,80,0.2971080368906456,47.513462,0.021046666732051647
50,42,2,5,120,0.2971080368906456,20.609244,0.04852191569957636
50,42,2,5,300,0.2971080368906456,10.817935,0.09243908379926483
50,42,2,5,500,0.2971080368906456,11.555072,0.08654208299178058
50,42,2,5,1000,0.2971080368906456,50.302022,0.01987991655683344
50,42,2,10,20,0.2971080368906456,9.689242,0.10320724779090046
50,42,2,10,40,0.2971080368906456,9.588601,0.10429050077274046
50,42,2,10,80,0.2971080368906456,13.108909,0.0762839989201237
50,42,2,10,120,0.2971080368906456,8.498283,0.11767082833085224
50,42,2,10,300,0.2971080368906456,8.688651,0.11509266513294181
50,42,2,10,500,0.2971080368906456,8.146711,0.12274892284751479
50,42,2,10,1000,0.2971080368906456,8.407948,0.11893508380403876
50,42,2,15,20,0.2971080368906456,10.377705,0.09636041880165219
50,42,2,15,40,0.2971080368906456,8.076892,0.12381000018323879
50,42,2,15,80,0.2971080368906456,10.475208,0.09546349819497617
50,42,2,15,120,0.2971080368906456,8.049202,0.12423591804504348
50,42,2,15,300,0.2971080368906456,10.666866,0.093748248079614
50,42,2,15,500,0.2971080368906456,7.134139,0.14017108441537232
50,42,2,15,1000,0.2971080368906456,10.588136,0.09444533013176257
50,42,4,5,20,0.2971080368906456,9.45578,0.10575542155168584
50,42,4,5,40,0.2971080368906456,10.514777,0.09510425185431892
50,42,4,5,80,0.2971080368906456,8.393334,0.11914216686718294
50,42,4,5,120,0.2971080368906456,7.583557,0.13186424259750404
50,42,4,5,300,0.2971080368906456,25.324149,0.03948800016932455
50,42,4,5,500,0.2971080368906456,20.884493,0.047882416872652836
50,42,4,5,1000,0.2971080368906456,9.902551,0.10098407975884192
50,42,4,10,20,0.2971080368906456,13.007637,0.07687791410538286
50,42,4,10,40,0.2971080368906456,7.68574,0.13011108884765812
50,42,4,10,80,0.2971080368906456,7.79401,0.128303658835439
50,42,4,10,120,0.2971080368906456,7.805822,0.12810950595593903
50,42,4,10,300,0.2971080368906456,8.78494,0.11383117016166303
50,42,4,10,500,0.2971080368906456,7.921498,0.12623874928706666
50,42,4,10,1000,0.2971080368906456,7.02225,0.14240449998219945
50,42,4,15,20,0.2971080368906456,7.34471,0.1361524144588418
50,42,4,15,40,0.2971080368906456,7.736844,0.12925166902680216
50,42,4,15,80,0.2971080368906456,6.618685,0.15108741388961705
50,42,4,15,120,0.2971080368906456,23.264516,0.042983915934464316
50,42,4,15,300,0.2971080368906456,7.935059,0.12602300751639023
50,42,4,15,500,0.2971080368906456,7.0938,0.14096816938735235
50,42,4,15,1000,0.2971080368906456,7.406287,0.13502042251400737
50,42,6,5,20,0.2971080368906456,10.604801,0.09429691325655239
50,42,6,5,40,0.2971080368906456,10.422774,0.09594374779689169
50,42,6,5,80,0.2971080368906456,8.243117,0.12131333329370432
50,42,6,5,120,0.2971080368906456,10.930395,0.09148800203469316
50,42,6,5,300,0.2971080368906456,8.326978,0.12009158664764095
50,42,6,5,500,0.2971080368906456,11.14878,0.08969591291603206
50,42,6,5,1000,0.2971080368906456,8.640547,0.11573341363689128
50,42,6,10,20,0.2971080368906456,43.515628,0.022980249762223355
50,42,6,10,40,0.2971080368906456,11.11144,0.08999733607885206
50,42,6,10,80,0.2971080368906456,12.34239,0.08102158496044931
50,42,6,10,120,0.2971080368906456,14.363259,0.0696220822864783
50,42,6,10,300,0.2971080368906456,10.757585,0.09295766661383573
50,42,6,10,500,0.2971080368906456,10.861675,0.09206683131285
50,42,6,10,1000,0.2971080368906456,10.053089,0.09947191355811134
50,42,6,15,20,0.2971080368906456,7.614923,0.1313210914936369
50,42,6,15,40,0.2971080368906456,7.887685,0.12677991070890887
50,42,6,15,80,0.2971080368906456,7.794546,0.12829483590192423
50,42,6,15,120,0.2971080368906456,7.591045,0.13173416835231513
50,42,6,15,300,0.2971080368906456,14.474975,0.06908474798747494
50,42,6,15,500,0.2971080368906456,9.068567,0.11027100533083121
50,42,6,15,1000,0.2971080368906456,10.872973,0.09197116556805576
